"670772142,""[{'label': 'POSITIVE', 'score': 0.999860405921936}]"""
"670682799,""[{'label': 'POSITIVE', 'score': 0.5366423726081848}]"""
"670623270,""[{'label': 'POSITIVE', 'score': 0.986922562122345}]"""
"670607911,""[{'label': 'POSITIVE', 'score': 0.9581551551818848}]"""
"670607296,""[{'label': 'POSITIVE', 'score': 0.9992396831512451}]"""
"670591897,""[{'label': 'NEGATIVE', 'score': 0.9972949624061584}]"""
"670585330,""[{'label': 'NEGATIVE', 'score': 0.9031281471252441}]"""
"670574142,""[{'label': 'NEGATIVE', 'score': 0.9992793202400208}]"""
"670571027,""[{'label': 'NEGATIVE', 'score': 0.9986523985862732}]"""
"670570869,""[{'label': 'NEGATIVE', 'score': 0.8593123555183411}]"""
"670443403,""[{'label': 'POSITIVE', 'score': 0.8714273571968079}]"""
"670435886,""[{'label': 'POSITIVE', 'score': 0.9997290968894958}]"""
"670376905,""[{'label': 'NEGATIVE', 'score': 0.5891008973121643}]"""
"670324965,""[{'label': 'POSITIVE', 'score': 0.9998726844787598}]"""
"670274554,""[{'label': 'POSITIVE', 'score': 0.9998530149459839}]"""
"670205135,""[{'label': 'NEGATIVE', 'score': 0.9987969398498535}]"""
"670199487,""[{'label': 'POSITIVE', 'score': 0.999683141708374}]"""
"670129921,""[{'label': 'NEGATIVE', 'score': 0.9599235653877258}]"""
"670099231,""[{'label': 'POSITIVE', 'score': 0.9983206391334534}]"""
"670033848,""[{'label': 'POSITIVE', 'score': 0.999396800994873}]"""
"670030877,""[{'label': 'POSITIVE', 'score': 0.8486968278884888}]"""
"670022335,""[{'label': 'POSITIVE', 'score': 0.9855726361274719}]"""
"670007081,""[{'label': 'POSITIVE', 'score': 0.999735414981842}]"""
"669996858,""[{'label': 'NEGATIVE', 'score': 0.9997856020927429}]"""
"669783708,""[{'label': 'POSITIVE', 'score': 0.9996656179428101}]"""
"669548161,""[{'label': 'NEGATIVE', 'score': 0.9947198629379272}]"""
"669528186,""[{'label': 'POSITIVE', 'score': 0.9788029789924622}]"""
"669403596,""[{'label': 'POSITIVE', 'score': 0.9994799494743347}]"""
"669353396,""[{'label': 'NEGATIVE', 'score': 0.9956226944923401}]"""
"669186152,""[{'label': 'NEGATIVE', 'score': 0.9980851411819458}]"""
"669093045,""[{'label': 'POSITIVE', 'score': 0.995834231376648}]"""
"669050447,""[{'label': 'POSITIVE', 'score': 0.9977201819419861}]"""
"668819140,""[{'label': 'POSITIVE', 'score': 0.9958682060241699}]"""
"668798543,""[{'label': 'POSITIVE', 'score': 0.9994788765907288}]"""
"668611003,""[{'label': 'POSITIVE', 'score': 0.8344510793685913}]"""
"668374644,""[{'label': 'NEGATIVE', 'score': 0.9951459765434265}]"""
"668242919,""[{'label': 'POSITIVE', 'score': 0.9914888143539429}]"""
"668209978,""[{'label': 'POSITIVE', 'score': 0.9994389414787292}]"""
"668111738,""[{'label': 'POSITIVE', 'score': 0.5967603325843811}]"""
"667962395,""[{'label': 'POSITIVE', 'score': 0.9990065693855286}]"""
"667949538,""[{'label': 'POSITIVE', 'score': 0.9983072280883789}]"""
"667897767,""[{'label': 'POSITIVE', 'score': 0.996063768863678}]"""
"667633252,""[{'label': 'NEGATIVE', 'score': 0.9996868371963501}]"""
"667600609,""[{'label': 'NEGATIVE', 'score': 0.9716790318489075}]"""
"667509247,""[{'label': 'POSITIVE', 'score': 0.9996950626373291}]"""
"667288224,""[{'label': 'POSITIVE', 'score': 0.998336672782898}]"""
"667095433,""[{'label': 'NEGATIVE', 'score': 0.9929439425468445}]"""
